DECLARANT,DECLARANT_ISO,PARTNER,PARTNER_ISO,TRADE_TYPE,PRODUCT_NC,PRODUCT_SITC,PRODUCT_CPA2002,PRODUCT_CPA2008,PRODUCT_CPA2_1,PRODUCT_BEC,PRODUCT_BEC5,PRODUCT_SECTION,FLOW,STAT_REGIME,SUPP_UNIT,PERIOD,VALUE_IN_EUROS,QUANTITY_IN_KG,SUP_QUANTITY
001,FR,0015,XI,L,99XXXXXX,9XXXX,.....,.....,XXXX,700,X1XXXX,XX,1,1,,202310,49136616,0,0
001,FR,0015,XI,L,99XXXXXX,9XXXX,.....,.....,XXXX,700,X1XXXX,XX,2,1,,202310,23267722,0,0
001,FR,0015,XI,L,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TO,1,1,,202310,49136616,0,0
001,FR,0015,XI,L,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TO,2,1,,202310,23267722,0,0
001,FR,0016,XU,M,01012100,00150,.....,.....,0143,111,712010,01,1,1,A,202310,7250833,86500,173
001,FR,0016,XU,M,01012100,00150,.....,.....,0143,111,712010,01,2,1,A,202310,11303981,69450,704
001,FR,0016,XU,M,01012100,00150,.....,.....,0143,111,712010,01,2,3,A,202310,150000,500,1
001,FR,0016,XU,M,01012990,00150,.....,.....,0143,111,111100,01,1,1,A,202310,856303,44300,89
001,FR,0016,XU,M,01012990,00150,.....,.....,0143,111,111100,01,2,1,A,202310,1329844,20350,44
001,FR,0016,XU,M,01041010,00121,.....,.....,0145,111,111100,01,2,1,A,202310,2270,240,5
001,FR,0016,XU,M,01051119,00141,.....,.....,0147,111,111100,01,1,1,A,202310,4752129,6359,141221
001,FR,0016,XU,M,01051119,00141,.....,.....,0147,111,111100,01,2,1,A,202310,141085,902,22536
001,FR,0016,XU,M,01051199,00141,.....,.....,0147,111,111100,01,2,1,A,202310,17123,110,2736
001,FR,0016,XU,M,01051200,00141,.....,.....,0147,111,111100,01,1,1,A,202310,2271160,8005,125820
001,FR,0016,XU,M,01061100,00190,.....,.....,0149,111,111100,01,1,1,A,202310,58,32,1
